Code,Description
"JX","Southeast Airlines"
"JX (1)","Jes Air Ltd."
"JXQ","Allarco Developments Ltd."
"JZ","Japan Air Charter  Ltd."
"K3","Venture Travel LLC d/b/a Taquan Air Service"
"K5","Seaport Airlines, "
"K7","Arizona Express"
"K8","Caribbean Sun Airlines,  d/b/a World Atlantic Airlines"
"K8 (1)","Dutch Caribbean Airlines"
"KA","Hong Kong Dragonair"
"KAH","Kenmore Air Harbor"
"KAI","Knight Airlines "
"KAQ","Kalitta Air LLC"
"KAT","Katmai Air"
"KB","Haiti Air"
"KD","Western Global"
"KE","Korean Air Lines  Ltd."
"KEA","Keene Airways"
"KEE","Key Airlines"
"KET","Ketchikan Air Service"
"KFS","King Flying Service"
"KH","Aloha Air Cargo"
"KI","Time Air Ltd."
"KIN","Golden Pacific Airlines"
"KKQ","Transmeridian Air Cargo Ltd."
"KL","Klm Royal Dutch Airlines"
"KLQ","Kalitta Charters II"
"KM","Air Malta"
"KN","Morris Air Corporation"
"KO","Alaska Central Express"
"KOD","Kodiak Airways "
"KP","Kiwi International"
"KR","Kitty Hawk Aircargo"
"KR (1)","Kar-Air Oy"
"KS","Peninsula Airways "
"KTQ","Turks Air Ltd."
"KU","Kuwait Airways Corp."
"KW","Carnival Air Lines "
"KWQ","Kelowna Flightcraft Air Cha"
"KWZ","Crown Air"
"KX","Cayman Airways Limited"
"KXZ","Chaparral Airlines "
"KZ","Nippon Cargo Airlines"
"L2","Lynden Air Cargo Airlines"
"L3","Lynx Aviation d/b/a Frontier Airlines"
"L7","Lan Colombia"
"LA","Lan-Chile Airlines"
"LAA","La Skycab Airline"
"LAH","La Helicopter"
"LAN","Lancer Aviation "
"LAP","Lapsa"
"LAR","Laredo Air"
"LAS","Lake Union Air Service"
"LAW","Lawrence Aviation"
"LB","Lloyd Aereo Boliviano S. A."
"LBQ","Millon Air "
"LC","Varig Logistica S/A"
"LC (1)","Lineas Aereas Del Caribe"
"LC (2)","Legend Airlines"
"LCQ","Latcr"
"LCT","Lake Coastal"
"LDM","Lauda Motion GmbH"
"LEQ","Le Point Air"
"LEX","L'Express"
"LF","CFM Inc d/b/a Contour Airlines"
"LF (1)","Jettrain Airlines"
"LG","Luxair"
"LGQ","Lineas Aereas Allegro"
"LH","Lufthansa German Airlines"
"LHA","Havasu Airlines"
"LIQ","Liat (1974) Limited"
"LJ","Jin Air Co Ltd."
"LKN","Loken Aviation"
"LLA","Lakeland Aviation"
"LNQ","Aerolineas Latinas"
"LO","Polskie Linie Lotnicze"
"LOQ","Lorair Ltd."
"LOS","Aero Commuter"
"LP","Lan Peru Airlines"
"LP (1)","The Hawaii Express "
"LR","Lacsa"
"LRQ","Air Liberte"
"LS","Jet2.com"
"LSQ","Lineas Aereas Suramerican"
"LSZ","Alaska Island Air "
"LT","Luftransport-Unternehmen"
"LU","Air Atlantic Dominicana"
"LUQ","Lineas Aereas La-Tur Sa"
"LVA","Las Vegas Airlines"
"LW","Pacific Wings Airlines"
"LX","Swiss International Airlines"
"LXQ","Translux Intl Airlines"
"LY","El Al Israel Airlines Ltd."
"LZ","Balkan Bulgarian Airlines"
"LZQ","Leisure International Airways Ltd."
"M3","ABSA-Aerolinhas Brasileiras"
"M6","Amerijet International"
"M7","Aerotransportes Mas De Crga"
"MA","Malev Hungarian Airlines"
"MAA","Maui Airlines"
"MAC","Mackey International "
"MAE","Mid-Atlantic Exp. Airlines"
"MAG","Magum Airlines"
"MAI","The Maui Commuter"
"MAQ","Millardair Limited"
"MAR","Marshall's Air "
"MAV","Maverick Airways"
"MAX","Maxair "
"MB","Samoa Airlines "
"MC","Transtar Airlines Corp."
"MCO","Mid Continental Airlines In"
"MDC","Midcontinent Airlines"
"MDU","Metro Airlines"
"ME","Middle East Airlines S.A.L."
"MEA","Manhattan Express"
"MET","Metroplex Airlines"
"MEX","Metro Express 11"
"MF","Xiamen Airlines , Ltd."
"MG","Champion Air"
"MGQ","Montana Austria Flugetrieb"
"MH","Malaysian Airline System"
"MHK","Mohawk Airlines"
"MHO","Mahalo Air"
"MIN","Minuteman Aviation "
"MIS","Midstate Airlines "
"MIY","Midway Aviation "
"MJ","Lapa-Lineas Aereas Privadas"
"MKQ","Airmark Corporation"
"ML","Aero Costa Rica"
"ML (1)","Midway Airlines  (1)"
"MLL","Miller Air Transportersinc"
"MLX","Merlin Express"
"MM","Euro Atlantic Airways"
"MM (1)","Sociedad Aeronautica De Med"
"MMH","Ocean Airways "
"MNA","M & N Aviation"
"MNZ","Cumberland Airlines"
"MOQ","Morningstar Air Express"
"MP","Martinair Holland N.V."
"MPA","Mid Pacific Airlines "
"MPC","Mid Pacific Air Corp."
"MQ","Envoy Air"
"MRC","Marco Island Airways "
"MRR","Merrimack Aviation "
"MS","Egyptair"
"MST","Midwest Aviation"
"MT","Thomas Cook Airlines Uk Ltd."
"MT (1)","Flying Colours Airlines Ltd."
"MTA","Arkansas Traveler Airline"
"MTR","Metroflight Airlines"
"MTV","Mst Aviation"
"MTX","Mountain Air Express"
"MU","China Eastern Airlines"
"MU (1)","Mcclain Airlines "
"MUA","Manu'a Air Transport"
"MUQ","Aerolineas Mundo"
"MVA","Mississippi Valley Airlines"
"MW","Mokulele Flight Services, "
"MWA","Mountain West Airlines"
"MX","Compania Mexicana De Aviaci"
"MY","MAXjet"
"MYQ","Lineas Aereas Mayas (Lamsa)"
"MZ","P.N. Merpati Nusantara Air."
"N5","Skagway Air Service"
"N5 (1)","Nations Air Express "
"N6","Aero Continente"
"N7","National Airlines"
"N8","National Air Cargo Group Inc d/ba National Airlines"
"NA","North American Airlines"
"NAC","National Air Commuter "
"NAP","Npa "
"NAQ","Nationair"
"NAS","Nasville Eagle"
"NAT","National Air"
"NB","Sterling Cargo"
"NBQ","Sterling Airways A/S"
"NC","Northern Air Cargo "
"NCA","National Commuter Airlines"
"NCE","Northcoast Executive"
"ND","Intair"
"NEB","New Born Wings "
"NEC","Nor East Commuter Airlines"
"NEQ","North East Cargo Airlines"
"NER","Northeast Express Regional (1)"
"NET","Nacnet"
"NEV","Nevada Airlines"
"NEW","New England Airlines "
"NEX","Northeast Express Regional"
"NFA","National Florida Airlines"
"NFQ","North Cariboo Flying Serv."
"NG","Lauda Air Luftfahrt Ag"
"NGL","Northern Eagle Airways "
"NH","All Nippon Airways "
"NHA","Newair Flight "
"NI","Lanica"
"NI (1)","American International Airways "
"NJ","Vanguard Airlines "
"NJA","N. J. Merrimack Airlines"
"NJE","NetJets Transportes Aereos, S.A."
"NK","Spirit Air Lines"
"NKQ","Norcanair"
"NLQ","Nolinor Aviation"
"NN","Northward Airlines Ltd."
"NOQ","Novair Airlines Ab"
"NPA","North Pacific Airlines "
"NPT","E. J. A. Newport "
"NQ","Air Japan Co"
"NRN","Northern Airlines "
"NSQ","North Coast Air Services"
"NTH","Northaire"
"NTQ","National Aviation Consult."
"NUM","Lake State Airways"
"NUQ","Air Niugini"
"NVQ","Novair International Airways Ltd."
"NVX","Nevis Express"
"NW","Northwest Airlines "
"NWQ","N. W. Territorial Airways"
"NWS","Northwest Seaplanes"
"NXQ","North Vancouver Air"
"NY","New York Air "
"NYH","New York Helicopter Corp."
"NZ","Air New Zealand"
"O6","Oceanair Linhas Aereas S A"
"OA","Olympic Airways"
"OAK","Harbor Airlines "
"OB","Oasis International Airlines S.A."
"OC","Air California "
"OCR","Ocean Reef Airways "
"OD","Emerald Airlines "
"OD (1)","Aerocondor"
"OE","Westair Airlines "
"OF","Air Finland Ltd."
"OFF","Offshore Logistics"
"OH","PSA Airlines "
"OH (1)","Comair "
"OHA","Omaha Aviation"
"OHZ","Caribbean Air Services "
"OI","Prestige Airways"
"OIZ","Corporate Air "
"OJ","Fly Jamaica Airways Limited"
"OK","Czech Airlines"
"OMH","Omniflight Helicopters"
"OMI","Omniflight Airways"
"OMK","Omak Aviation Airlines"
"OMN","Omni Pacific Airline"
"OMQ","Quassar De Mexico"
"ON","Air Nauru"
"ONQ","Nunasi-Central Airlines Ltd."
"OO","SkyWest Airlines "
"OOZ","Sun Aire Lines"
"OP","Flying Boat "
"OP (1)","Air Panama Internacional"
"OPQ","Orion Air"
"OR","TUI Airlines Nederland B.V."
"ORI","Orion Air "
"OS","Austrian Airlines"
"OTT","Otter Air"
"OV","Aeromaritime"
"OW","Executive Airlines"
"OWQ","Ontario Worldair Limited"
"OWS","Air Kentucky Air Lines"
"OZ","Asiana Airlines "
"OZ (1)","Ozark Air Lines  (1)"
"OZA","Ozark Air Lines "
"P3","Cargologicair Limited"
"P9","Pro Air "
"PA","Florida Coastal Airlines"
"PA (1)","Pan American World Airways (1)"
"PA (2)","Pan American World Airways"
"PAI","Permian Airways "
"PAQ","Patriot Airlines "
"PAT","Panorama Air Tours"
"PBA","Provincetown Boston"
"PBQ","Privatair"
"PCA","Piasa Commuter Airlines"
"PCL","Pacific Cal Air"
"PCQ","Pace Airlines"
"PCR","Pacair"
"PD","Porter Airlines, "
"PD (1)","Pem-Air Limited"
"PDA","Trans Southern Airways"
"PDQ","Antigua Paradise Airways"
"PE","Air Europe S.P.A."
"PE (1)","People Express Airlines "
"PEA","Pearson Aircraft"
"PEQ","SkyLink Express "
"PER","Air Pennsylvania"
"PET","Petro Aviation Corp."
"PFA","Pacificair"
"PFQ","Asia Pacific"
"PH","Polynesian Airlines Ltd."
"PHL","Phillips Airlines"
"PHR","Pinehurst Airlines "
"PHX","Phoenix Airlines"
"PI","Piedmont Aviation "
"PIA","Pacific Island Airways"
"PIQ","Pacific International Airlines"
"PK","Pakistan International Airlines"
"PKQ","Skyworld Airlines "
"PL","Aero Peru"
"PLA","Planes "
"PLQ","Planet Airways"
"PLZ","Polar Airways "
"PM","Prescott Support Company, "
"PMA","Pacific Missionary Aviation"
"PMT","Pilgrim Aviation & Airlines"
"PN","Pan American Airways Corp."
"PNM","Panama Aviation"
"PNQ","Panagra Airways"
"PNR","Pioneer Airways"
"PNS","Pine State Airlines"
"PO","Polar Air Cargo Airways"
"POA","Potomac Air"
"POC","Pocono Airlines "
"POL","Polar International"
"POM","Pompano Airways"
"PON","Ponderosa Aviation "
"POQ","Polyot Airlines"
"PP","Jet Aviation Business Jets AG"
"PPQ","Propair"
"PR","Philippine Airlines "
"PRA","Princeton Aviation Corp"
"PRD","Paradise Island Airlines"
"PRM","Prime Air "
"PRN","Puerto Rico Intl Airlines"
"PRO","Sundance Airlines"
"PRP","Propheter Aviation"
"PRQ","Florida West Airlines "
"PRR","Pro Air Services"
"PS","Ukraine International Airlines"
"PS (1)","Pacific Southwest Airlines"
"PSA","P.S. Air Freight "
"PT","Piedmont Airlines"
"PT (1)","Capital Cargo International"
"PTQ","Flight International"
"PU","Primeras Lineas Uruguays For International"
"PUQ","Aeropuma"
"PV","Eastern Provincial Airways"
"PVA","Precision Valley Aviation"
"PW","Pacific Western Airlines"
"PY","Surinam Airways Limited"
"PZ","Lineas Aereas Paraguayas"
"Q2","Zambia Airways Corp."
"Q4","Master Top Linhas Aereas, Ltda."
"Q5","40-Mile Air"
"Q7","SkyBahamas Airlines Ltd."
"Q7 (1)","Sobelair"
"QB","Inter-Quebec (Intair)"
"QD","Grand Airways "
"QF","Qantas Airways Ltd."
"QG","Sky West Aviation "
"QH","Air Florida "
"QK","Jazz Aviation LP"
"QN","Royal Air"
"QO","Aeromexpress"
"QOZ","Bar Harbor Airways"
"QQ","Reno Air "
"QR","Qatar Airways (Q.C.S.C)"
"QS","Travel Service, a.s."
"QS (1)","Northeastern International Airways"
"QT","Transportes Aereos Mercantiles Panamericanos S.A"
"QTQ","Aer Turas Teoranta"
"QWE","Qwest Commuter"
"QX","Horizon Air"
"R2","Orenburg Airlines"
"R3","Air Company Yakutia"
"RAL","Royal-Air Ltd."
"RAN","Pan Am Express"
"RAQ","Arista International Airlines "
"RAY","Royale Airlines "
"RB","Syrian Arab Airlines"
"RC","Republic Airlines "
"RCA","Mid-South Aviation  (1)"
"RD","Ryan International Airlines"
"RD (1)","Airlift International "
"RDR","Rader Aviation"
"RDW","Redwing Airways"
"REA","Realwest Airlines"
"RED","Aerosun International Airlines "
"REQ","Renown Aviation"
"RES","Resort Airlines "
"RG","Varig S. A."
"RGQ","Regency Air"
"RHA","Royal Hawaiian Airways "
"RIA","Trump Air"
"RIC","Richardson Aviation"
"RID","Indiana Airways  (Reid"
"RIO","Rio Airways "
"RIQ","Rich International Airways"
"RIV","Riverside Air Service"
"RJ","Alia-(The) Royal Jordanian"
"RJS","Michigan Airways "
"RK","Air Afrique"
"RL","UltrAir"
"RL (1)","Aerolineas Nicaraguenses"
"RLQ","Reliant Airlines"
"RMH","Rocky Mountain Helicopters"
"RMV","Ram Aviation"
"RNQ","Mytravel Airways"
"RO","Tarom Romanian Air Transpor"
"ROA","Royal West Airways "
"ROE","Roederer Aviation "
"ROQ","Aero Uruguay (1)"
"ROS","Great Western Airlines "
"ROY","Royal American Airways "
"RP","Chautauqua Airlines "
"RRT","Air Freight Express"
"RS","Sky Regional Airlines "
"RSC","Resort Commuter"
"RSQ","Aerotransportes Entre Rios"
"RSV","Air-Serve"
"RTQ","Aerotour Dominicano Cxa"
"RU","AirBridgeCargo Airlines Limited"
"RV","Air Canada rouge LP"
"RV (1)","Reeve Aleutian Airways "
"RVA","Reeves Air"
"RVQ","Reeve Air Alaska, LLC"
"RWG","Air Rovers "
"RY","Redcoat Air Cargo Limited"
"RZZ","Aeromech "
"S3","Santa Barbara Airlines, C.A"
"S4","Sata Internacional"
"S5","Shuttle America Corp."
"S6","Star Air A/S"
"S6 (1)","Mountain Bird/Salmon Air"
"SA","South African Airways"
"SAC","Sundorph Aeronautical Corp."
"SAH","Sea Air Shuttle"
"SAI","Seair Alaska Airlines "
"SAJ","Sajen Air "
"SAL","Sallee's Aviation"
"SAM","Samoan Airlines "
"SAQ","Southern Air Transport "
"SAS","Air Cortez International"
"SAX","Air Americana"
"SBA","Saber Aviation "
"SBN","Suburban Airlines"
"SBQ","Skyjet S.A."
"SCN","Scott Aviation"
"SCO","Seaco Airlines "
"SCT","Skyline Airlines"
"SCY","South Coast Airways"
"SDQ","St. Lucia Airways Limited"
"SE","XL Airways France"
"SE (1)","Das Air Cargo"
"SEB","Seaborne Aviation"
"SEG","Seagull Air Service"
"SEM","Semo Aviation "
"SEP","Southern Express Airways"
"SEQ","Sky Service F.B.O."
"SER","Service Aviation "
"SFI","Stahmannfarms "
"SFO","Sfo Helicopter Airlines "
"SFQ","Pacific International Airlines "
"SFQ (1)","Southern Frontier Air Trans"
"SFS","Sierra Flite Service "
"SG","Jetsgo"
"SH","Servicio Aereo De Honduras"
"SHS","Shasta Air "
"SHV","Shavano Air "
"SI","Sierra Pacific Airlines"
"SI (1)","Jet America Airlines "
"SIA","Silver State Airlines"
"SIQ","Premiair"
"SIQ (1)","Scanair"
"SJA","San Juan Airlines "
"SJQ","Skycharter (Malton) Ltd."
"SK","Scandinavian Airlines Sys."
"SKI","Sunbird "
"SKJ","Sky-Jet"
"SKL","Bas Airlines"
"SKM","Scheduled Skyways"
"SKS","Silver Kris Services Ltd."
"SKT","Skytrain"
"SLO","Slocum Air "
"SLQ","Sky King "
"SLR","Salair"
"SLZ","Southeast Airlines "
"SM","Sunworld International Airlines"
"SMC","Stopher Mechanical "
"SMO","Samoa Aviation "
"SMQ","Serv. Aerolineas Mexicanas"
"SN","Brussels Airlines N.V."
"SN (1)","Sabena Belgian World Air."
"SNA","Aviation Associates"
"SNB","Ccair"
"SNC","Gelco Courier Services "
"SNE","Shawnee Airlines"
"SNK","Spernak Airways "
"SNV","Sierra Nevada Airways"
"SO","Swiss World Airways"
"SOA","Mall Airways "
"SOE","Sky One Express"
"SOL","Soonair Lines "
"SOP","South Pacific Island Airway"
"SPF","Springfield Air Service"
"SPG","Springdale Air"
"SPH","Spirit Helicopter"
"SPQ","Sun Pacific International"
"SPR","Sportsman Flying Service"
"SQ","Singapore Airlines Ltd."
"SR","Swissair Transport  Ltd."
"SRA","Star Aviation"
"SRL","Sterling Air Service"
"SS","Corsair International"
"SSA","S. S. Airways "
"SSP","Southern Seaplane"
"SSQ","Superior Airways Limited"
"SSS","Sierra Express "
"SST","Seaplane Shuttle Transport"
"ST","Belize Airways Limited"
"STA","State Airlines "
"STF","Trans East International"
"STG","Sedalia Marshall Boonvl Stg"
"STQ","Skycraft Air Transport "
"STR","Star Aviation Corporation"
"STW","Stateswest Airlines"
"STZ","Air America "
"SU","Aeroflot Russian Airlines"
"SUA","Sunshine Airlines"
"SUI","Sun International Airways"
"SUT","Sunbelt"
"SUX","Sunair Express LLC"
"SV","Saudi Arabian Airlines Corp"
"SVL","Sun Valley Airlines"
"SVW","Global Jet Luxembourg, Sa"
"SWA","Sunwest Airlines"
"SWT","Swift Aire Lines "
"SX","Skybus Airlines, "
"SX (1)","Aeroejecutivo S.A."
"SXP","Sierra Expressway"
"SY","Sun Country Airlines d/b/a MN Airlines"
"SYB","Skybus Express Airlines"
"SYM","Skymaster"
"SZQ","Aerolineas El Salvador S A"
"T3","Tristar Airlines "
"T9","TransMeridian Airlines"
"TA","Taca International Airlines"
"TAC","Air Colorado"
"TAF","Tri Air Freight"
"TAL","Tejas Airlines "
"TAQ","Taquan Air Service"
"TAS","Yosemite Airlines "
"TAT","Talarik Creek Air Taxi"
"TB","TUI Airlines Belgium N.V. d/b/a Jetairfly"
"TB (1)","USAir Shuttle"
"TBQ","Triair Bermuda Flt Operations"
"TCA","Trans Catalina Airlines"
"TCE","Oceanair Line"
"TCI","Trans California Airlines"
"TCL","Trans-Central Airlines "
"TCO","Trans-Colorado Airlines"
"TCQ","Express.Net Airlines"
"TDQ","Venexcargo"
"TDQ (1)","Transcarga"
"TEN","Tennessee Airways "
"TER","Terre Haute Air Commuter"
"TFQ","Trans International Airlines "
"TFZ","Tri-State Airlines "
"TG","Thai Airways International Ltd."
"TGO","Trans Air Cargo "
"TGQ","Tranps Aereos Guatemaltecos"
"TH","Transmile Air Service"
"THA","Tropical Helicopter Airways"
"THO","Thorson Aviation"
"THQ","T-Bird Air "
"TIA","Trans Air "
"TIE","Trans International Express"
"TIQ","Tyrolean Jet Service"
"TIS","Skyfreight"
"TJ","Jet Charter Service "
"TK","Turk Hava Yollari A.O."
"TKQ","Trans-Air-Link Corporation"
"TLQ","Trans-Mediterranean Airways"
"TMA","Trans Mo Airlines"
"TN","Air Tahiti Nui"
"TNQ","Emery Worldwide Airlines"
"TNS","Transtate Aviation"
"TP","Tap-Portuguese Airlines"
"TPQ","Aerial Transit Company"
"TQQ","Taca Peru"
"TR","Transbrasil S.A."
"TRA","Aeromexico Travel"
"TRI","Great Plains Airlines "
"TRO","Air Molakai"
"TRP","Trans Pennsylvania Airlines"
"TRQ","Blue Scandinavia Ab"
"TRR","Territorial Airlines"
"TS","Air Transat"
"TSF","American Central Airlines"
"TSI","Trans Sierra Airlines "
"TSQ","TPI International Airways"
"TTM","The Time Machine"
"TUL","Tulsair Beechcraft "
"TUR","Turner Aire"
"TV","Haiti Trans Air"
"TV (1)","Transamerica Airlines "
"TVL","Travelair"
"TW","Trans World Airways LLC"
"TWA","Trans Western Airlines Utah"
"TWE","Trans World Express"
"TX","Soc.Nouvelle Air Guadeloupe"
"TX (1)","Transportes Aereos Nacional"
"TXA","Texas National Airlines"
"TXE","Trans Air (Hawaii)"
"TXQ","British Caribbean Airways"
"TXY","Texas Airways"
"TYE","Temsco Airlines"
"TZ","ATA Airlines d/b/a ATA"
"TZQ","First Choice Airways"
"U2","UFS "
"U5","USA 3000 Airlines"
"U7","USA Jet Airlines "
"UA","United Air Lines "
"UAI","Universal Airways "
"UC","Ladeco"
"UD","Fast Air Carrier Ltd."
"UH","US Helicopter Corporation"
"UMQ","Air Manila "
"UN","Transaero Airlines"
"UNQ","Overseas National Airways"
"UP","Bahamasair Holding Limited"
"UR","Empire Airlines  (1)"
"URQ","Aero Uruguay"
"US","US Airways "
"USA","Air U.S."
"UT","Union De Transports Aeriens"
"UTQ","Universal Airlines "
"UX","Air Europa"
"UX (1)","Air Illinois "
"UYQ","Aerolineas Uruguayas S.A."
"V4","Vensecar International"
"V5","J.D.Valenciana De Aviation"
"V8","Iliamna Air Taxi"
"V9","Eagle Airlines"
"VA","Virgin Blue International Airlines t/a V Australia"
"VA (1)","Venezuelan International Airways"
"VAG","Vagabond Aviation "
"VAQ","Vacationair"
"VAS","Valley Air Services"
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus"
"VB (1)","Pacific Express"
"VC","Servicios Avensa"
"VCQ","Victory Air Transport "
"VE","Aerovias Venezolanas-Avensa"
"VER","Britt Airlines "
"VEZ","Valdez Airlines"
"VH","Aeropostal Alas De Venezuel"
"VI","Vieques Air Link "
"VIG","Viking Express"
"VIN","Vale International Airlines"
"VIQ","Volga-Dnepr Airlines"
"VIQ (1)","Viscount Air Service "
"VIS","Virgin Islands Seaplane"
"VJT","VistaJet Limited"
"VK","Air Tungaru Corporation"
"VL","Mid-South Aviation "
"VLA","Village Aviation"
"VLY","Valley Airlines"
"VOQ","Avalon Aviation Ltd."
"VP","Viacao Aerea Sao Paulo"
"VQ","Vintage Props & Jets "
"VR","Transportes Aereos De Cabo"
"VS","Virgin Atlantic Airways"
"VSA","VistaJet Luftfahrtunternehmen GmbH"
"VV","Aerosvit Ukranian Airlines"
"VV (1)","Challenge Air Transport "
"VV (2)","Challenge Air International "
"VW","Transportes Aeromar S.A de C.V"
"VX","Virgin America"
"VX (1)","Aces Airlines"
"VY","Highland Express Airways"
"W3","Arik Air International"
"W4","Mn Aviation, "
"W7","Western Pacific Airlines"
"W8","Cargojet Airways Ltd."
"W9","Eastwind Airlines "
"WA","Worldwide Airlines Services"
"WA (1)","Western Air Lines "
"WAC","Air East Airlines"
"WAI","Wise Airlines "
"WAP","Arrow Panama"
"WAQ","Air Charter Systems (Acs)"
"WAR","Waring Air"
"WAW","Westward Airways "
"WC","Wien Air Alaska "
"WCA","Walker's International"
"WCI","Mountainwest Airlines"
"WD","Halisa Air"
"WDQ","Wardair Canada "
"WE","Centurion Cargo "
"WEB","Southeast Alaska Airlines"
"WEQ","Aero-Services-Corporate"
"WES","Western Star Airlines "
"WET","Western Charter "
"WFS","Wheeler Airlines"
"WFT","Westflight Aviation"
"WG","Sunwing Airlines "
"WGL","Wrangell Air Service"
"WGQ","Gateway Aviation Limited"
"WI","Sky Lease Cargo"
"WIA","Wisc Air"
"WIL","Will's Air"
"WIR","Williams Air "
"WL","World Air Network"
"WLH","Welch Aviation"
"WLQ","Worldwide Airlines "
"WM","Windward Islands Airways"
"WN","Southwest Airlines "
"WNG","Wings Airways"
"WNQ","Winair "
"WO","World Airways "
"WP","Island Air Hawaii"
"WR","WestJet Encore Ltd."
"WRA","Wra "
"WRD","Ward Air"
"WRT","Wright Airlines "
"WS","Westjet"
"WS (1)","Suncoast Airlines "
"WSK","AAR Western Skyways"
"WST","Friday Harbor Seaplanes"
"WSU","Mission Air"
"WT","Nigeria Airways Ltd."
"WTA","Westates Airlines"
"WV","Air Greco, , d/b/a Wings Air"
"WV (1)","Air South  (1)"
"WW","WOW Air ehf"
"WWI","Wings West Airlines"
"WWQ","Worldways Canada Ltd."
"X4","Air Excursions LLC"
"X9","Omni Air Express"
"XAA","Aero Union Corp"
"XAB","Air Polynesia d/b/a DHL Cargo"
"XAC","Air Express International Airlines"
"XAE","Amerford Airways "
"XAF","Astro-Wing Airlines "
"XAG","Ball Brothers "
"XAH","Hawaii Pacific Air"
"XAI","Burlington Northern "
"XAJ","Central American International"
"XAK","Century Airlines "
"XAM","Cohlmia Aviation"
"XAO","Dallas Flight Center"
"XAQ","Cam Air International "
"XAR","Jet Way "
"XAS","Klondike Air "
"XAT","Michigan Peninsula Airways"
"XAU","Flight Line "
"XAY","Pat Air"
"XAZ","Purolator Sky Courier "
"XBC","Jet East "
"XBF","WTC Airlines"
"XBH","Profit Airlines "
"XBI","CF Air Freight"
"XBJ","International Air Service"
"XBM","Phh Air "
"XBP","Circle Airfreight Corp."
"XBQ","Aeronaves De Puerto Rico"
"XBR","Allstates Air Cargo "
"XBT","Pacific Alaska Airlines "
"XBV","Nal "
"XBX","Icb International Airlines"
"XBZ","Air Natl Aircraft Sal & Ser"
"XC","Air Caribbean (1)"
"XCA","Hawkins And Powers Aviation"
"XDA","Pacific Air Express "
"XDC","Hemisphere Air Charter"
"XDD","International Parcel Express "
"XDE","Air Train "
"XDF","Salair "
"XDH","Kitty Hawk Air Cargo"
"XE","ExpressJet Airlines  (1)"
"XF","Vladivostok Air"
"XJ","Mesaba Airlines"
"XK","Aerotal"
"XL","Lan Ecuador"
"XP","XTRA Airways"
"XPA","Express Air d/b/a Sunrise"
"XPQ","International Cargo Xpress"
"XV","Presidential Airways "
"XY","Munz Northern Airlines "
"XYZ","Airpac "
"Y2","Globespan Airways Limited d/b/a Flyglobespan"
"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)"
"Y7","Flyjet Limited d/b/a Silverjet"
"Y8","Yangtze River Express Airlines Company"
"YB","Trans Continental Airlines"
"YBQ","Yellow Bird Air"
"YM","Royal West Airlines"
"YR","Grand Canyon Airlines,  d/b/a Grand Canyon Airlines d/b/a Scenic Airlines"
"YV","Mesa Airlines "
"YX","Republic Airlines"
"YX (1)","Midwest Airline, "
"Z3","PM Air, LLC"
"Z3 (1)","Promech"
"ZA","Accessair Holdings"
"ZAQ","Zas Airline Of Egypt"
"ZB","Monarch Airlines"
"ZE","Eastar Jet Co Ltd."
"ZE (1)","Lineas Aereas Azteca"
"ZFZ","Mcphillips Flying Service"
"ZIA","Air New Mexico"
"ZK","Great Lakes Airlines"
"ZKQ","Zantop International"
"ZL","Affretair"
"ZMZ","Winnipesaukee Aviation "
"ZN","Key Airlines "
"ZO","Florida Express "
"ZP","Air St. Thomas"
"ZS","Hispaniola Airways"
"ZUQ","Zuliana De Aviacion"
"ZV","Air Midwest "
"ZW","Air Wisconsin Airlines Corp"
"ZX","Air Georgian"
"ZX (1)","Airbc Ltd."
"ZY","Atlantic Gulf Airlines"
"ZYZ","Skyway Aviation "
